"filename", "language", "C", "Makefile", "Markdown", "comment", "blank", "total"
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_pwr.h", "C", 99, 0, 0, 96, 43, 238
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_qspi.h", "C", 193, 0, 0, 227, 66, 486
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_rcc.h", "C", 642, 0, 0, 300, 117, 1059
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_rng.h", "C", 32, 0, 0, 60, 22, 114
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_rtc.h", "C", 392, 0, 0, 364, 125, 881
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_sai.h", "C", 260, 0, 0, 269, 113, 642
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_sdio.h", "C", 256, 0, 0, 187, 86, 529
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_spdifrx.h", "C", 108, 0, 0, 112, 35, 255
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_spi.h", "C", 238, 0, 0, 206, 98, 542
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_syscfg.h", "C", 173, 0, 0, 128, 42, 343
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_tim.h", "C", 593, 0, 0, 390, 160, 1143
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_usart.h", "C", 173, 0, 0, 175, 78, 426
"/home/lee/stm32f407_boot/platform/driver/inc/stm32f4xx_wwdg.h", "C", 28, 0, 0, 54, 22, 104
"/home/lee/stm32f407_boot/platform/driver/src/misc.c", "C", 62, 0, 0, 155, 25, 242
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_adc.c", "C", 518, 0, 0, 1056, 164, 1738
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_can.c", "C", 829, 0, 0, 868, 152, 1849
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_cec.c", "C", 144, 0, 0, 408, 49, 601
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_crc.c", "C", 31, 0, 0, 77, 18, 126
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_cryp.c", "C", 280, 0, 0, 571, 76, 927
"/home/lee/stm32f407_boot/platform/driver/src/stm32f4xx_cryp_aes.c", "C", 1104, 0, 0, 400, 196, 1700
